prompt,category,conversation_idx,ground_truth,ground_truth_source,scenario,params,actual_response_time_min,actual_count,A_dateutil_answer,B_strptime_answer,C_pandas_answer
Flag converstions with internal notes.,SYMBOLIC_METADATA,100,no,deterministic,notes_absent,"{""subtype"": ""notes"", ""value"": null}",,,no,no,no
Is this an 'refund' case?,SYMBOLIC_METADATA,101,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""refund""}",,,yes,yes,yes
Was the channel web form...,SYMBOLIC_METADATA,102,no,deterministic,channel_mismatch,"{""subtype"": ""channel"", ""value"": ""web form""}",,,no,no,no
Has this been flagged as 'feature-request'?,SYMBOLIC_METADATA,103,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""feature-request""}",,,yes,yes,yes
Is this an 'complaint' case?,SYMBOLIC_METADATA,104,no,deterministic,tag_absent,"{""subtype"": ""tag"", ""value"": ""complaint""}",,,no,no,no
Is this an 'follow-up' case?,SYMBOLIC_METADATA,105,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""follow-up""}",,,yes,yes,yes
Verify ticket has 'feature-request' status.,SYMBOLIC_METADATA,106,no,deterministic,tag_absent,"{""subtype"": ""tag"", ""value"": ""feature-request""}",,,no,no,no
Identify 'retention' cases.,SYMBOLIC_METADATA,107,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""retention""}",,,yes,yes,yes
Is this a social media conversation?,SYMBOLIC_METADATA,108,no,deterministic,channel_mismatch,"{""subtype"": ""channel"", ""value"": ""social media""}",,,no,no,no
Confirm 'technical' is present.,SYMBOLIC_METADATA,109,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""technical""}",,,yes,yes,yes
Is the 'urgent' tag present on this ticket?,SYMBOLIC_METADATA,110,no,deterministic,tag_absent,"{""subtype"": ""tag"", ""value"": ""urgent""}",,,no,no,no
Is 'technical' applied to this ticket?,SYMBOLIC_METADATA,111,yes,deterministic,tag_present,"{""subtype"": ""tag"", ""value"": ""technical""}",,,yes,yes,yes
Identify if source was chat.,SYMBOLIC_METADATA,112,no,deterministic,channel_mismatch,"{""subtype"": ""channel"", ""value"": ""chat""}",,,no,no,no
Identify if source was phone.,SYMBOLIC_METADATA,113,yes,deterministic,channel_match,"{""subtype"": ""channel"", ""value"": ""phone""}",,,yes,yes,yes
Detect twitter conversations.,SYMBOLIC_METADATA,114,no,deterministic,channel_mismatch,"{""subtype"": ""channel"", ""value"": ""twitter""}",,,no,no,no
