model,run,idx,category,prompt,answer,ground_truth,correct,prompt_tokens,completion_tokens,reasoning_tokens,total_tokens,latency_ms
o3-mini,4,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,142,128,359,1843.8
o3-mini,4,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,142,128,499,3044.8
o3-mini,4,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,15,0,403,846.2
o3-mini,4,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,142,128,384,3090.5
o3-mini,4,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,143,128,736,3565.4
o3-mini,4,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,yes,no,0,308,270,256,578,3889.4
o3-mini,4,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,207,192,626,2399.1
o3-mini,4,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,398,384,663,3770.3
o3-mini,4,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,399,384,903,4266.7
o3-mini,4,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,79,64,266,1510.6
o3-mini,4,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,15,0,254,681.9
o3-mini,4,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,271,256,864,2874.9
o3-mini,4,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,143,128,363,1594.1
o3-mini,4,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,15,0,380,718.0
o3-mini,4,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,144,128,274,1783.0
o3-mini,4,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,847,832,1346,7021.1
o3-mini,4,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,207,192,497,1904.1
o3-mini,4,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,79,64,268,933.6
o3-mini,4,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,207,192,418,2528.6
o1,0,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,719,704,1258,14360.7
o1,0,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,1039,1024,1631,20732.1
o1,0,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,399,384,694,44545.6
o1,0,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,78,64,666,4127.8
o1,0,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,911,896,1254,32782.5
o1,0,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,334,320,645,7849.8
o1,0,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,yes,yes,1,268,398,384,666,27279.7
o1,0,15,SYMBOLIC_TIME,Identify delays in agent response.,no,yes,0,282,654,640,936,49816.5
o1,0,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,911,896,1270,18841.5
o1,0,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,no,yes,0,256,1871,1856,2127,60812.4
o1,0,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,335,320,726,11788.7
o1,0,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,464,448,746,14167.9
o1,0,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,206,192,492,7743.4
o1,0,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,719,704,1014,23705.4
o1,0,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,334,320,573,11341.4
o1,0,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,271,256,561,9328.3
o1,0,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,463,448,778,17944.6
o1,0,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,398,384,636,9798.0
o1,0,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,206,192,428,14818.4
o1,0,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,270,256,614,6461.0
o1,0,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,718,704,1232,16169.6
o1,0,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,533,512,1138,11877.3
o1,0,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,526,512,944,8861.1
o1,0,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,278,256,466,12440.2
o1,0,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,462,448,649,11057.0
o1,0,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,273,256,511,12613.9
o1,0,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,79,64,342,3252.3
o1,0,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,142,128,545,7552.7
o1,0,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,142,128,329,4494.8
o1,0,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,206,192,395,7389.2
o1,0,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,526,512,784,19160.8
o1,0,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,398,384,615,10410.4
o1,0,12,SYMBOLIC_TIME,Flag slow initial responses.,no,yes,0,357,1487,1472,1844,74595.5
o1,0,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,206,192,594,11263.7
o1,0,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,975,960,1217,22631.9
o1,0,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,335,320,928,7639.8
o1,0,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,no,no,1,308,398,384,706,8843.6
o1,0,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,526,512,945,8903.0
o1,0,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,yes,yes,1,265,1166,1152,1431,15955.2
o1,0,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,590,576,1094,7955.9
o1,0,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,143,128,330,5457.4
o1,0,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,142,128,381,3841.2
o1,0,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,464,448,1057,6423.5
o1,0,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,206,192,426,6145.8
o1,0,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,398,384,763,10032.2
o1,0,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,no,no,1,130,206,192,336,5073.3
o1,0,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,654,640,1153,9568.0
o1,0,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,463,448,753,11863.4
o1,0,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,271,256,460,6362.2
o1,0,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,1104,1088,1315,31097.1
o1,1,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,654,640,1193,9373.0
o1,1,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,1487,1472,2079,22656.1
o1,1,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,527,512,822,12787.9
o1,1,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,590,576,1178,9717.1
o1,1,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,910,896,1253,20275.6
o1,1,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,334,320,645,5528.4
o1,1,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,yes,yes,1,268,335,320,603,29273.1
o1,1,15,SYMBOLIC_TIME,Identify delays in agent response.,no,yes,0,282,783,768,1065,13773.5
o1,1,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,334,320,693,7521.9
o1,1,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,213,192,469,4211.9
o1,1,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,143,128,534,3399.7
o1,1,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,399,384,681,3994.2
o1,1,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,463,448,749,14905.0
o1,1,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,yes,yes,1,295,974,960,1269,24494.5
o1,1,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,270,256,509,8867.4
o1,1,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,78,64,368,4200.3
o1,1,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,206,192,521,10177.1
o1,1,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,271,256,509,5325.0
o1,1,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,270,256,492,13313.3
o1,1,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,462,448,806,12950.9
o1,1,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,1038,1024,1552,33025.2
o1,1,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,654,640,1259,10855.9
o1,1,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,526,512,944,14230.8
o1,1,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,462,448,650,7291.3
o1,1,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,208,192,395,4302.9
o1,1,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,590,576,828,8629.4
o1,1,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,78,64,341,5172.7
o1,1,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,143,128,546,7474.9
o1,1,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,206,192,393,6247.2
o1,1,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,718,704,907,10094.4
o1,1,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,599,576,857,8642.5
o1,1,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,271,256,488,9626.9
o1,1,12,SYMBOLIC_TIME,Flag slow initial responses.,yes,yes,1,357,463,448,820,18273.9
o1,1,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,143,128,531,2632.5
o1,1,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,654,640,896,7969.2
o1,1,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,911,896,1504,11469.4
o1,1,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,no,no,1,308,398,384,706,13411.0
o1,1,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,462,448,881,11221.5
o1,1,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,526,512,791,16733.4
o1,1,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,527,512,1031,5793.6
o1,1,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,208,192,395,3842.1
o1,1,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,78,64,317,1512.9
o1,1,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,654,640,1247,5019.7
o1,1,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,207,192,427,3093.8
o1,1,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,79,64,444,1592.9
o1,1,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,no,no,1,130,782,768,912,16111.7
o1,1,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,655,640,1154,4846.6
o1,1,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,334,320,624,6209.6
o1,1,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,142,128,331,1682.0
o1,1,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,654,640,865,6306.5
o1,2,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,846,832,1385,5958.8
o1,2,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,yes,yes,1,592,1039,1024,1631,10973.6
o1,2,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,526,512,821,7413.2
o1,2,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,143,128,731,6797.3
o1,2,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,910,896,1253,12004.6
o1,2,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,398,384,709,5199.3
o1,2,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,yes,yes,1,268,462,448,730,6892.1
o1,2,15,SYMBOLIC_TIME,Identify delays in agent response.,no,yes,0,282,590,576,872,8288.4
o1,2,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,847,832,1206,10708.5
o1,2,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,334,320,590,4750.4
o1,2,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,208,192,599,4560.2
o1,2,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,271,256,553,5219.9
o1,2,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,399,384,685,8076.2
o1,2,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,1166,1152,1461,21716.8
o1,2,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,143,128,382,6370.3
o1,2,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,206,192,496,6738.3
o1,2,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,206,192,521,4218.0
o1,2,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,207,192,445,3878.5
o1,2,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,no,yes,0,222,591,576,813,12413.0
o1,2,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,590,576,934,4124.9
o1,2,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,1294,1280,1808,12923.3
o1,2,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,655,640,1260,6769.1
o1,2,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,334,320,752,4071.3
o1,2,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,462,448,650,6197.7
o1,2,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,143,128,330,2527.8
o1,2,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,398,384,636,7086.2
o1,2,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,206,192,469,3682.7
o1,2,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,142,128,545,3203.9
o1,2,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,206,192,393,3261.2
o1,2,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,910,896,1099,19198.6
o1,2,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,398,384,656,8402.6
o1,2,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,271,256,488,3420.3
o1,2,12,SYMBOLIC_TIME,Flag slow initial responses.,no,yes,0,357,590,576,947,7718.3
o1,2,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,144,128,532,2622.9
o1,2,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,462,448,704,5213.6
o1,2,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,1038,1024,1631,12644.3
o1,2,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,no,no,1,308,335,320,643,4185.2
o1,2,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,527,512,946,6854.6
o1,2,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,yes,yes,1,265,1358,1344,1623,11731.9
o1,2,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,591,576,1095,5671.3
o1,2,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,79,64,266,1542.2
o1,2,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,149,128,388,2961.7
o1,2,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,655,640,1248,8357.0
o1,2,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,143,128,363,6008.0
o1,2,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,276,256,641,6833.0
o1,2,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,yes,no,0,130,463,448,593,6682.8
o1,2,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,526,512,1025,7707.9
o1,2,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,142,128,432,2895.9
o1,2,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,143,128,332,4047.7
o1,2,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,335,320,546,5624.5
o1,3,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,399,384,938,4757.2
o1,3,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,no,yes,0,592,1040,1024,1632,10992.8
o1,3,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,207,192,502,4367.7
o1,3,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,783,768,1371,5067.4
o1,3,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,910,896,1253,7058.8
o1,3,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,334,320,645,4493.1
o1,3,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,yes,yes,1,268,783,768,1051,11829.7
o1,3,15,SYMBOLIC_TIME,Identify delays in agent response.,no,yes,0,282,974,960,1256,28511.2
o1,3,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,398,384,757,5343.5
o1,3,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,78,64,334,1639.8
o1,3,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,206,192,597,4720.2
o1,3,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,463,448,745,4695.3
o1,3,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,335,320,621,3461.4
o1,3,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,719,704,1014,6702.7
o1,3,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,142,128,381,2728.6
o1,3,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,206,192,496,3406.8
o1,3,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,270,256,585,4796.9
o1,3,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,271,256,509,3646.6
o1,3,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,142,128,364,10275.3
o1,3,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,335,320,679,4366.3
o1,3,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,1166,1152,1680,14859.2
o1,3,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,526,512,1131,14560.9
o1,3,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,654,640,1072,5228.7
o1,3,29,SYMBOLIC_TIME,Ensure the 6 minutes target was achieved.,yes,yes,1,188,591,576,779,8299.0
o1,3,56,SYMBOLIC_TIME,Did the customer end up waiting over 60 sec?,yes,yes,1,187,719,704,906,15558.1
o1,3,41,SYMBOLIC_TIME,Did the agent beat the 21 hours deadline?,yes,yes,1,238,270,256,508,5226.4
o1,3,109,SYMBOLIC_METADATA,Confirm 'technical' is present.,yes,yes,1,263,207,192,470,3723.8
o1,3,19,SYMBOLIC_TIME,Was the customer's message acknowledged w/in 18 min?,no,no,1,403,206,192,609,5086.3
o1,3,16,SYMBOLIC_TIME,Was the query addressed within 26 sec?,no,no,1,187,207,192,394,2520.2
o1,3,78,SYMBOLIC_METADATA,Any private comments added?,no,no,1,189,334,320,523,7835.3
o1,3,30,SYMBOLIC_TIME,Did the customer experience a long wait...,no,yes,0,258,911,896,1169,13011.6
o1,3,18,SYMBOLIC_TIME,Measure whether the first response took less than 120 hours.,yes,yes,1,217,270,256,487,5961.4
o1,3,12,SYMBOLIC_TIME,Flag slow initial responses.,no,yes,0,357,526,512,883,8495.3
o1,3,66,SYMBOLIC_METADATA,Is this a whatsapp ticket?,no,no,1,388,206,192,594,9475.6
o1,3,117,SYMBOLIC_COUNT,Pinpoint interactions exceeding 5 back-and-forths.,no,yes,0,242,335,320,577,3235.8
o1,3,118,SYMBOLIC_COUNT,Identify threads where 50 exchanges were not enough.,no,no,1,593,1230,1216,1823,22327.2
o1,3,143,SYMBOLIC_COUNT,Monitor for exchanges going beyond 13 messages.,no,no,1,308,462,448,770,3821.7
o1,3,164,SYMBOLIC_COUNT,Were there fewer than 17 messages?,yes,no,0,419,463,448,882,4004.4
o1,3,38,SYMBOLIC_TIME,Was there more than a 25 minutes gap before the response?,no,yes,0,265,271,256,536,8644.2
o1,3,135,SYMBOLIC_COUNT,Watch for turn counts above 16.,no,yes,0,504,719,704,1223,10074.7
o1,3,104,SYMBOLIC_METADATA,Is this an 'complaint' case?,yes,no,0,187,271,256,458,4115.0
o1,3,67,SYMBOLIC_METADATA,Detect if 'onboarding' label exists.,yes,yes,1,239,78,64,317,1837.5
o1,3,148,SYMBOLIC_COUNT,Did the thread contain at least 50 messages?,no,no,1,593,591,576,1184,2819.4
o1,3,2,SYMBOLIC_TIME,assess first-reply promptness.,yes,no,0,220,334,320,554,3770.9
o1,3,98,SYMBOLIC_METADATA,Is 'vip' applied to this ticket?,no,no,1,365,206,192,571,1967.2
o1,3,152,SYMBOLIC_COUNT,Assess whetehr the interaction was streamlined.,no,no,1,130,206,192,336,4721.2
o1,3,159,SYMBOLIC_COUNT,Was the conversation wrapped up before hitting 15 messages?,no,yes,0,499,526,512,1025,4523.5
o1,3,75,SYMBOLIC_METADATA,Has this been flagged as 'onboarding'?,yes,yes,1,290,207,192,497,3191.5
o1,3,108,SYMBOLIC_METADATA,Is this a social media conversation?,no,no,1,189,24,0,213,1184.9
o1,3,26,SYMBOLIC_TIME,Did the reply arrive before the 90 sec mark?,yes,yes,1,211,142,128,353,2189.4
o1,4,156,SYMBOLIC_COUNT,Was the conversation longer than 17 exchanges?,yes,yes,1,539,725,704,1264,5191.5
o1,4,145,SYMBOLIC_COUNT,Pinpoint interactions exceeding 19 back-and-forths.,yes,yes,1,592,783,768,1375,9982.8
o1,4,101,SYMBOLIC_METADATA,Is this an 'refund' case?,no,yes,0,295,206,192,501,3628.8
o1,4,127,SYMBOLIC_COUNT,Examine if the reply count went above 50.,no,no,1,588,79,64,667,1920.3
o1,4,141,SYMBOLIC_COUNT,Identify threads where 9 exchanges were not enough.,yes,yes,1,343,655,640,998,6874.1
o1,4,139,SYMBOLIC_COUNT,Did the conversation have more than 5 turns?,yes,yes,1,311,336,320,647,2934.9
o1,4,42,SYMBOLIC_TIME,Assess whether the 21 min threshold was met.,yes,yes,1,268,398,384,666,7989.6
o1,4,15,SYMBOLIC_TIME,Identify delays in agent response.,yes,yes,1,282,718,704,1000,8509.5
o1,4,126,SYMBOLIC_COUNT,Monitor for exchanges going beyond 10 messages.,yes,yes,1,359,846,832,1205,6847.3
o1,4,65,SYMBOLIC_METADATA,Is the 'spam' tag present on this ticket?,yes,yes,1,256,206,192,462,3071.4
o1,4,112,SYMBOLIC_METADATA,Identify if source was chat.,no,no,1,391,270,256,661,3054.7
o1,4,60,SYMBOLIC_TIME,Examine if the response was sent before the 30 seconds limit.,no,yes,0,282,655,640,937,7083.1
o1,4,45,SYMBOLIC_TIME,Was the 1 min response window honored?,no,yes,0,286,463,448,749,5357.7
o1,4,51,SYMBOLIC_TIME,Did the agent take longer than 5 min to get back?,no,yes,0,295,398,384,693,6723.8
o1,4,31,SYMBOLIC_TIME,Was the first contact from the agent made within 180 sec?,no,no,1,239,334,320,573,3381.2
o1,4,9,SYMBOLIC_TIME,Was the first reply sent in under 26 hrs?,yes,yes,1,290,78,64,368,2066.3
o1,4,113,SYMBOLIC_METADATA,Identify if source was phone.,yes,yes,1,315,206,192,521,3870.2
o1,4,55,SYMBOLIC_TIME,Ensure the 14 hours target was achieved.,no,no,1,238,207,192,445,2722.9
o1,4,24,SYMBOLIC_TIME,Assess whether the 8 sec threshold was met.,yes,yes,1,222,271,256,493,4170.7
o1,4,155,SYMBOLIC_COUNT,Did more than 14 replies get sent by the agent?,no,no,1,344,526,512,870,4414.0
o1,4,138,SYMBOLIC_COUNT,Was 15 messages enough or did it go longer?,no,yes,0,514,1486,1472,2000,16002.1
o1,4,167,SYMBOLIC_COUNT,Record cases where more than 25 replies were needed.,no,no,1,605,654,640,1259,5761.6
o1,4,128,SYMBOLIC_COUNT,Was the message count above 17?,no,no,1,418,462,448,880,3654.2
