prompt,category,subcategory,true_params,extracted_params,extracted_any,match_threshold,match_unit,match_subtype,match_value,correct
Did the total number of messages go above 16?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Check if tagged as 'billing'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""billing""}","{""subtype"": ""tag"", ""value"": ""billing""}",True,True,True,True,True,True
Verify ticket has 'escalated' status.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""escalated""}","{""subtype"": ""tag"", ""value"": ""escalated""}",True,True,True,True,True,True
Detect resolution delays from excessive exchanges.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 4}",,False,False,False,False,False,False
Was the issue handled in fewer than 11 replies?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 11}","{""threshold"": 11}",True,True,True,True,True,True
Verify ticket has 'urgent' status.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""urgent""}","{""subtype"": ""tag"", ""value"": ""urgent""}",True,True,True,True,True,True
Monitor for exchanges going beyond 6 messages.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 6}","{""threshold"": 6}",True,True,True,True,True,True
Did the agent take too long to respond?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 8, ""unit"": ""hours""}",,False,False,False,False,False,False
Was the conversation concise,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 8}",,False,False,False,False,False,False
Test whether the reply met the 26 min requirement.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 26, ""unit"": ""min""}","{""threshold"": 26.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the agent send more than 30 replies?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 30}","{""threshold"": 30}",True,True,True,True,True,True
Confirm 'vip' is present.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""vip""}","{""subtype"": ""tag"", ""value"": ""vip""}",True,True,True,True,True,True
Flag conversations that could have been shorter.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 50}",,False,False,False,False,False,False
Did the agent meet the 13 hrs response target?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 13, ""unit"": ""hrs""}","{""threshold"": 13.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Does the ticket have the 'refund' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""refund""}","{""subtype"": ""tag"", ""value"": ""refund""}",True,True,True,True,True,True
Audit the response against the 1 minutes standard.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 1, ""unit"": ""minutes""}","{""threshold"": 1.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Did it go over 2 exchanges before reaching resolution?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 2}","{""threshold"": 2}",True,True,True,True,True,True
Does the ticket have the 'technical' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""technical""}","{""subtype"": ""tag"", ""value"": ""technical""}",True,True,True,True,True,True
Was the conversation wrapped up before hitting 30 messages?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 30}","{""threshold"": 30}",True,True,True,True,True,True
check if channel is email.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Audit the response against the 7 min standard...,SYMBOLIC_TIME,time_explicit,"{""threshold"": 7, ""unit"": ""min""}","{""threshold"": 7.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the channel chat?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""chat""}","{""subtype"": ""channel"", ""value"": ""chat""}",True,True,True,True,True,True
Did the support rep answer within the 7 minutes window?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 7, ""unit"": ""minutes""}","{""threshold"": 7.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Ascertain whether 15 hours was exceeded.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 15, ""unit"": ""hours""}","{""threshold"": 15.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Spot threads that took over 50 replies.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 50}","{""threshold"": 50}",True,True,True,True,True,True
Is this marked as 'escalated',SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""escalated""}","{""subtype"": ""tag"", ""value"": ""escalated""}",True,True,True,True,True,True
Was this submitted via web form?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""web form""}",,False,False,False,False,False,False
Record cases where more than 15 replies were needed.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
was there an answer from the agent w/in 25 sec??,SYMBOLIC_TIME,time_explicit,"{""threshold"": 25, ""unit"": ""sec""}","{""threshold"": 25.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the total interaction under 6 back-and-forths?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 6}","{""threshold"": 6}",True,True,True,True,True,True
Detect conversations exceeding 16 exchanges.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Has this been flagged as 'bug'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""bug""}","{""subtype"": ""tag"", ""value"": ""bug""}",True,True,True,True,True,True
Is this marked as 'retention'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""retention""}","{""subtype"": ""tag"", ""value"": ""retention""}",True,True,True,True,True,True
is this marked as 'pending'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""pending""}","{""subtype"": ""tag"", ""value"": ""pending""}",True,True,True,True,True,True
Highlight conversations running past 3 turns...,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 3}","{""threshold"": 3}",True,True,True,True,True,True
Did it take more than 15 exchanges to resolve?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
Were more than 14 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 14}","{""threshold"": 14}",True,True,True,True,True,True
Was the customer kept waiting beyond 30 seconds?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 30, ""unit"": ""seconds""}","{""threshold"": 30.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Did the back-and-forth go past 3 exchanges?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 3}","{""threshold"": 3}",True,True,True,True,True,True
Identify if source was whatsapp...,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
detect lengthy interactions over 14 exchanges.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 14}","{""threshold"": 14}",True,True,True,True,True,True
Was the time to first response shorter than 300 hours?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 300, ""unit"": ""hours""}","{""threshold"": 300.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect if there was a delay over 8 sec.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 8, ""unit"": ""sec""}","{""threshold"": 8.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Did the agent beat the 27 sec deadline?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 27, ""unit"": ""sec""}","{""threshold"": 27.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the agent take longer than 12 min to get back?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 12, ""unit"": ""min""}","{""threshold"": 12.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
was the response time longer or shorter than 24 seconds?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 24, ""unit"": ""seconds""}","{""threshold"": 24.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Did it take too many messages to resolve?,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 30}",,False,False,False,False,False,False
Does the ticket have the 'retention' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""retention""}","{""subtype"": ""tag"", ""value"": ""retention""}",True,True,True,True,True,True
Spot instances where the agent exceeded 60 minutes.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 60, ""unit"": ""minutes""}","{""threshold"": 60.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Flag tickets marked 'feedback'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""feedback""}","{""subtype"": ""tag"", ""value"": ""feedback""}",True,True,True,True,True,True
Detect unnecessarily long interactions.,SYMBOLIC_COUNT,count_implicit,"{""threshold"": 18}",,False,False,False,False,False,False
Is 'urgent' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""urgent""}","{""subtype"": ""tag"", ""value"": ""urgent""}",True,True,True,True,True,True
Was there an answer from the agent within 24 hours?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 24, ""unit"": ""hours""}","{""threshold"": 24.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Is 'complaint' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""complaint""}","{""subtype"": ""tag"", ""value"": ""complaint""}",True,True,True,True,True,True
Was thete an answer from the agent withim 28 hrs?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 28, ""unit"": ""hrs""}","{""threshold"": 28.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect web form conversations.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""web form""}",,False,False,False,False,False,False
Determine if first response exceeded 26 hrs.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 26, ""unit"": ""hrs""}","{""threshold"": 26.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Does the ticket have the 'escalated' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""escalated""}","{""subtype"": ""tag"", ""value"": ""escalated""}",True,True,True,True,True,True
Did the agent add an internal note?,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Did the customer have to wait more than 300 seconds for a reply?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 300, ""unit"": ""seconds""}","{""threshold"": 300.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Did it go over 25 exchanges before reaching resolution?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 25}","{""threshold"": 25}",True,True,True,True,True,True
Was the customer kept waiting beyond 60 hrs?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 60, ""unit"": ""hrs""}","{""threshold"": 60.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Measure if the total messages crossed 2.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 2}","{""threshold"": 2}",True,True,True,True,True,True
Monitor whether the 11 seconds benchmark was hit.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 11, ""unit"": ""seconds""}","{""threshold"": 11.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Ascertain whether 5 hours was exceeded.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 5, ""unit"": ""hours""}","{""threshold"": 5.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Does the ticket have the 'legal' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""legal""}","{""subtype"": ""tag"", ""value"": ""legal""}",True,True,True,True,True,True
Did the support agent reply inside 180 hours?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 180, ""unit"": ""hours""}","{""threshold"": 180.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Monitor for exchanges going beyond 7 messages.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 7}","{""threshold"": 7}",True,True,True,True,True,True
Audit the response against the 7 minutes standard.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 7, ""unit"": ""minutes""}","{""threshold"": 7.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the conversation shorter or longer than 10 turns?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 10}","{""threshold"": 10}",True,True,True,True,True,True
Did the support agent reply inside 20 seconds?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 20, ""unit"": ""seconds""}","{""threshold"": 20.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect if there was a delay over 10 seconds.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 10, ""unit"": ""seconds""}","{""threshold"": 10.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Monitor whether the 3 sec benchmark was hit.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 3, ""unit"": ""sec""}","{""threshold"": 3.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Was there a response within 45 seconds?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 45, ""unit"": ""seconds""}","{""threshold"": 45.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect phone conversations.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""phone""}","{""subtype"": ""channel"", ""value"": ""phone""}",True,True,True,True,True,True
Filter for email tickets.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Check if channel is social media.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""social media""}",,False,False,False,False,False,False
Did the reply arrive before the 2 min mark...,SYMBOLIC_TIME,time_moderate,"{""threshold"": 2, ""unit"": ""min""}","{""threshold"": 2.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the delay between customer message and agent reply under 8 seconds?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 8, ""unit"": ""seconds""}","{""threshold"": 8.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Detect whatsapp conversations.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Did solving the issue take more than 15 replies?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
Verify ticket has 'resolved' status.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""resolved""}","{""subtype"": ""tag"", ""value"": ""resolved""}",True,True,True,True,True,True
Did the back-and-forth go past 16 exchanges?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 16}","{""threshold"": 16}",True,True,True,True,True,True
Assess fiest-reply promprnesd.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 20, ""unit"": ""hours""}",,False,False,False,False,False,False
Identify 'sensitive' cases.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""sensitive""}","{""subtype"": ""tag"", ""value"": ""sensitive""}",True,True,True,True,True,True
Is this a email conversation?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Was the channel web form?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""web form""}",,False,False,False,False,False,False
Was there a response within 29 hours?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 29, ""unit"": ""hours""}","{""threshold"": 29.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Flag if the conversation exceeded 13 messages.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Validate that the converstion stayed under 5 turns.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 5}","{""threshold"": 5}",True,True,True,True,True,True
Detect if there was a delay over 13 min.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 13, ""unit"": ""min""}","{""threshold"": 13.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Is 'technical' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""technical""}","{""subtype"": ""tag"", ""value"": ""technical""}",True,True,True,True,True,True
Detect if there was a delay over 20 sec.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 20, ""unit"": ""sec""}","{""threshold"": 20.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Inspect if the first reply came under 13 minutes.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 13, ""unit"": ""minutes""}","{""threshold"": 13.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
measure if the total messages crossed 30.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 30}","{""threshold"": 30}",True,True,True,True,True,True
Confirm the thread had fewer than 13 messages.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
Was the total interaction under 5 back-and-forths?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 5}","{""threshold"": 5}",True,True,True,True,True,True
Identify 'legal' cases.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""legal""}","{""subtype"": ""tag"", ""value"": ""legal""}",True,True,True,True,True,True
Flag tickets marked 'high-priority'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""high-priority""}","{""subtype"": ""tag"", ""value"": ""high-priority""}",True,True,True,True,True,True
Did the thread contain at least 14 messages...,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 14}","{""threshold"": 14}",True,True,True,True,True,True
Did the queue time exceed 6 hrs?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 6, ""unit"": ""hrs""}","{""threshold"": 6.0, ""unit"": ""hours"", ""operator"": "">""}",True,True,True,True,True,True
Check if tagged as 'vip'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""vip""}","{""subtype"": ""tag"", ""value"": ""vip""}",True,True,True,True,True,True
Is this a twitter ticket?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""twitter""}","{""subtype"": ""channel"", ""value"": ""twitter""}",True,True,True,True,True,True
Flag tickets marked 'spam'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""spam""}","{""subtype"": ""tag"", ""value"": ""spam""}",True,True,True,True,True,True
Did they get back to the customer within 12 hrs?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 12, ""unit"": ""hrs""}","{""threshold"": 12.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Measure whetehr the 27 minutes SLA was breached.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 27, ""unit"": ""minutes""}","{""threshold"": 27.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Were more than 4 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 4}","{""threshold"": 4}",True,True,True,True,True,True
Is this an 'urgent' case?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""urgent""}","{""subtype"": ""tag"", ""value"": ""urgent""}",True,True,True,True,True,True
Examine if the response was sent before the 16 min limit.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 16, ""unit"": ""min""}","{""threshold"": 16.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the conversation wrapped up before hitting 25 messages?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 25}","{""threshold"": 25}",True,True,True,True,True,True
Validate that the conversation stayed under 18 turns.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 18}","{""threshold"": 18}",True,True,True,True,True,True
Assess whether the 8 sec threshold was met.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 8, ""unit"": ""sec""}","{""threshold"": 8.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Filter for social media tickets.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""social media""}",,False,False,False,False,False,False
Spot instances where the agent exceeded 300 min.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 300, ""unit"": ""min""}","{""threshold"": 300.0, ""unit"": ""minutes"", ""operator"": "">""}",True,True,True,True,True,True
Watch for turn counts above 4.,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 4}","{""threshold"": 4}",True,True,True,True,True,True
Gauge if the response fell within 24 seconds.,SYMBOLIC_TIME,time_explicit,"{""threshold"": 24, ""unit"": ""seconds""}","{""threshold"": 24.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the message count above 9?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 9}","{""threshold"": 9}",True,True,True,True,True,True
Did the back-and-forth go past 12 exchanges?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 12}","{""threshold"": 12}",True,True,True,True,True,True
Check if tagged as 'legal'.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""legal""}","{""subtype"": ""tag"", ""value"": ""legal""}",True,True,True,True,True,True
Is the 'high-priority' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""high-priority""}","{""subtype"": ""tag"", ""value"": ""high-priority""}",True,True,True,True,True,True
Is this a web form ticket?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""web form""}",,False,False,False,False,False,False
Assess whether the response was prompt.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 29, ""unit"": ""seconds""}",,False,False,False,False,False,False
Does rhe ticket hqve the 'feature-rwquest' label?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""feature-request""}","{""subtype"": ""tag"", ""value"": ""feature-rwquest""}",True,True,True,True,False,False
Note if the response gap was wider than 16 sec.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 16, ""unit"": ""sec""}","{""threshold"": 16.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the response delivered before 26 min passed?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 26, ""unit"": ""min""}","{""threshold"": 26.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was there a response within 45 min?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 45, ""unit"": ""min""}","{""threshold"": 45.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Did solving the issue take more than 9 replies?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 9}","{""threshold"": 9}",True,True,True,True,True,True
Did the agent beat the 12 hrs deadline?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 12, ""unit"": ""hrs""}","{""threshold"": 12.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the 20 hours response window honored?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 20, ""unit"": ""hours""}","{""threshold"": 20.0, ""unit"": ""hours"", ""operator"": ""<=""}",True,True,True,True,True,True
Was the first reply sent in under 13 minutes?,SYMBOLIC_TIME,time_explicit,"{""threshold"": 13, ""unit"": ""minutes""}","{""threshold"": 13.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Catalog instances of 24 minutes threshold violations.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 24, ""unit"": ""minutes""}","{""threshold"": 24.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Was there an unreasonable delay before the first response?,SYMBOLIC_TIME,time_implicit,"{""threshold"": 10, ""unit"": ""seconds""}",,False,False,False,False,False,False
Was the total interaction under 13 back-and-forths?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 13}","{""threshold"": 13}",True,True,True,True,True,True
was there more than a 14 sec gap before the response?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 14, ""unit"": ""sec""}","{""threshold"": 14.0, ""unit"": ""seconds"", ""operator"": ""<=""}",True,True,True,True,True,True
Did the customer need to wait past 18 min for acknowledgment?,SYMBOLIC_TIME,time_moderate,"{""threshold"": 18, ""unit"": ""min""}","{""threshold"": 18.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Assess whether the turn count exceeded 7.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 7}","{""threshold"": 7}",True,True,True,True,True,True
Were more than 8 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 8}","{""threshold"": 8}",True,True,True,True,True,True
Evaluate response speed against the 23 minutes target.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 23, ""unit"": ""minutes""}","{""threshold"": 23.0, ""unit"": ""minutes"", ""operator"": ""<=""}",True,True,True,True,True,True
Any private comments added??,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
Was the turn count greater than 4?,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 4}","{""threshold"": 4}",True,True,True,True,True,True
Flag if customer waited more than 18 sec.,SYMBOLIC_TIME,time_moderate,"{""threshold"": 18, ""unit"": ""sec""}","{""threshold"": 18.0, ""unit"": ""seconds"", ""operator"": "">""}",True,True,True,True,True,True
Flag conversations with internal notes.,SYMBOLIC_METADATA,meta_notes,"{""subtype"": ""notes"", ""value"": null}","{""subtype"": ""notes"", ""value"": null}",True,True,True,True,True,True
seywct excessivw waiy before first reply.,SYMBOLIC_TIME,time_implicit,"{""threshold"": 17, ""unit"": ""minutes""}",,False,False,False,False,False,False
Test whether fewer than 11 turns were used.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 11}","{""threshold"": 11}",True,True,True,True,True,True
Identify 'onboarding' cases.,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""onboarding""}","{""subtype"": ""tag"", ""value"": ""onboarding""}",True,True,True,True,True,True
Was the total interaction under 18 back-and-forths?,SYMBOLIC_COUNT,count_moderate,"{""threshold"": 18}","{""threshold"": 18}",True,True,True,True,True,True
Is 'sensitive' applied to this ticket?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""sensitive""}","{""subtype"": ""tag"", ""value"": ""sensitive""}",True,True,True,True,True,True
Check if channel is email.,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""email""}","{""subtype"": ""channel"", ""value"": ""email""}",True,True,True,True,True,True
Is this a whatsapp ticket?,SYMBOLIC_METADATA,meta_channel,"{""subtype"": ""channel"", ""value"": ""whatsapp""}","{""subtype"": ""channel"", ""value"": ""whatsapp""}",True,True,True,True,True,True
Measure if the total messages crossed 15.,SYMBOLIC_COUNT,count_explicit,"{""threshold"": 15}","{""threshold"": 15}",True,True,True,True,True,True
Was it tagged 'sensitive'?,SYMBOLIC_METADATA,meta_tag,"{""subtype"": ""tag"", ""value"": ""sensitive""}","{""subtype"": ""tag"", ""value"": ""sensitive""}",True,True,True,True,True,True
