prompt,category,subcategory,style,noise,params,top_category
Measure if the total messages crossed 4.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 4}",SYMBOLIC_COUNT
Calculate the impact of this conversation on subscription over month.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Did the agent finish the interaction cleanly once the breach notification resolution was delivered?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Flag tickets marked 'retention'.,SYMBOLIC_METADATA,meta_tag,instruction,light,"{""subtype"": ""tag"", ""value"": ""retention""}",SYMBOLIC_METADATA
did the agent’s last reply include confirmation steps like “you should receive a link within x minutes”?,SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
"Did agent greet customer and personalize, or jump straight into steps w/ no context?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
"Determine whether agent finished up appropriately and offered more help, even though we were still at hello stage.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
Assess email-appropriate communication style.,HYBRID,hybrid,instruction,light,,HYBRID
Were 12 or more turns required to address this?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 12}",SYMBOLIC_COUNT
Would the customer recommend the service after this usage interaction,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Did the customer experience a long wait?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 21, ""unit"": ""hours""}",SYMBOLIC_TIME
Identify 'resolved' cases.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""resolved""}",SYMBOLIC_METADATA
Is this marked as 'follow-up'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""follow-up""}",SYMBOLIC_METADATA
Catalog instances of 6 hours threshold violations.,SYMBOLIC_TIME,time_moderate,instruction,light,"{""threshold"": 6, ""unit"": ""hours""}",SYMBOLIC_TIME
What is the probability the customer will request a callback?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Confirm 'complaint' is present.,SYMBOLIC_METADATA,meta_tag,instruction,heavy,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
"If customer is frustrated by delayed notice, did agent acknowledge and take ownership of follow-up?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
"Detect whether the agent provided a proper conversation conclusion for a locked account escalation request: they should restate the issue, confirm what action was taken (escalation submitted), set expectations for follow-up, and ask if there’s anything else, all in a decisive, final way.",SEMANTIC_CLOSING,llm_generated,instruction,none,,SEMANTIC
"For cancellation requests made on weekends (timestamped Saturday/Sunday), did the agent’s tone remain consistently professional?",HYBRID,llm_generated,question,none,,HYBRID
Did the customer upgrade their plan within a week of the conversation?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
Did the agent's response arrive in under 13 hours?,SYMBOLIC_TIME,time_explicit,question,none,"{""threshold"": 13, ""unit"": ""hours""}",SYMBOLIC_TIME
"Did agent actually check anything or propose options, or just say “I understand” a lot?",SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
"Did agent make it clear what happens next with the defect claim, then ask if more assistance is needed?",SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Track if the turnaround time surpassed 10 min.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 10, ""unit"": ""min""}",SYMBOLIC_TIME
What was usage outcome of their last 50 interactions?,UNSUPPORTED,unsupported,question,heavy,,UNSUPPORTED
Evaluate if escalation was actually requested on user’s behalf and logged.,SEMANTIC_SOLUTION,llm_generated,instruction,none,,SEMANTIC
"Evaluate whwthee the agent’s inotial troubleshooting included specific recomnendations contingent on ti,e srbsitivity (tught vonnection vs plrnty of buffee).",SEMANTIC_SOLUTION,llm_generated,instruction,medium,,SEMANTIC
"Check if they begin by owning the issue, not just “here’s what we did,” and acknowledge the breach notice too.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Identify poor response speed.,SYMBOLIC_TIME,time_implicit,instruction,none,"{""threshold"": 11, ""unit"": ""hrs""}",SYMBOLIC_TIME
"When the wait exceeded 15 minutes, did the agent address it?",HYBRID,hybrid,question,none,,HYBRID
Did the agent end the convo properly right after greeting? kinda weird but check.,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Estimate the probability that this customer will renew within quarter.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"When the customer requests confirmation in writing and the ticket has 5+ turns, did the agent respond with courteous, professional reassurance?",HYBRID,llm_generated,question,light,,HYBRID
Detect whether agent listened and reflected customer concerns before escalating.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
Was the conversation drawn out?,SYMBOLIC_COUNT,count_implicit,question,light,"{""threshold"": 13}",SYMBOLIC_COUNT
wvaluate response rimeliness.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 22, ""unit"": ""min""}",SYMBOLIC_TIME
"Detect if agent started right: self ID + acknowledges late shipment + checks understanding, period.",SEMANTIC_GREETING,llm_generated,instruction,medium,,SEMANTIC
Evaluate acknowledgment of delay for waits over 10 minutes.,HYBRID,hybrid,instruction,none,,HYBRID
"Did agent acknowledge feelings first, then start troubleshooting the delay?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Evaluare whethet the agent’s greering avoided sarcasm or blame while discudsing a shipping felsy.,SEMANTIC_TONE,llm_generated,instruction,heavy,,SEMANTIC
Dod the cusromer and agent exxhamge over 25 messages?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 25}",SYMBOLIC_COUNT
Assess whether the agent avoided curt replies and instead used considerate phrasing during resolution delivery.,SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
"If the agent took more than 12 minutes to provide next steps, assess whether they offered an empathetic explanation for the delay.",HYBRID,llm_generated,instruction,medium,,HYBRID
"If the conversation took more than 5 exchanges, did the agent remain patient",HYBRID,hybrid,question,medium,,HYBRID
Did the agent keep repeating apologies instead of addressing billing error?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Count the number of agent responses and compare to 5.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 5}",SYMBOLIC_COUNT
"Check whether the airline’s final resolution matched the passenger’s claimed losses, including receipts submitted later, and document any discrepancies between what was requested here and what was ultimately reimbursed after back-office review.",UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Did the agent finish the chat politely after escalation request?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Will this customer downgrade in the next 90 days?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
detect if 'feedback' label exists.,SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""feedback""}",SYMBOLIC_METADATA
did this come through email?,SYMBOLIC_METADATA,meta_channel,question,heavy,"{""subtype"": ""channel"", ""value"": ""email""}",SYMBOLIC_METADATA
rxamine if the reply count went above 14.,SYMBOLIC_COUNT,count_explicit,instruction,heavy,"{""threshold"": 14}",SYMBOLIC_COUNT
Verify if the agent offered any other assistance at the end.,SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
Did agent say something like “I know that’s frustrating” before sending reset instructions?,SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
Verify that email best practices were followed.,HYBRID,hybrid,instruction,none,,HYBRID
Check if more than 15 turns occurred.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 15}",SYMBOLIC_COUNT
"Check if, during greeting, agent restated the issue accurately and asked if that’s correct before proceeding; this should be explicit, not implied.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Was the channel phone?,SYMBOLIC_METADATA,meta_channel,question,none,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
Determine if the exchange surpassed 13 messages.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 13}",SYMBOLIC_COUNT
Compare this agent's handling against the customer's history in Stripe.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Detect conversations exceeding 6 exchanges.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 6}",SYMBOLIC_COUNT
Verify message count is under 7.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 7}",SYMBOLIC_COUNT
"If customer says “my flight is delayed,” did agent respond with empathy and acknowledgment in the very first turn?",SEMANTIC_GREETING,llm_generated,question,none,,SEMANTIC
"Verify the greeting begins with an apology for the billing error, even if customer is angry.",SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Ascertain whether 7 min was exceeded.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 7, ""unit"": ""min""}",SYMBOLIC_TIME
"If the customer waited more than 20 minutes, did the agent acknowledge the delay?",HYBRID,hybrid,question,none,,HYBRID
Did the agent’s greeting apologize for the billing error in a straightforward way?,SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
verify ticket has 'feedback' status.,SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""feedback""}",SYMBOLIC_METADATA
Did agent capture the main request (refund) and personalize next steps using order info provided?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Forecast the customer's complaint trend over the next next billing cycle.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
"If refund was requested, confirm agent didn’t derail into generic tech support and instead addressed refund options early.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Was the first reply prompt?,SYMBOLIC_TIME,time_implicit,question,medium,"{""threshold"": 5, ""unit"": ""hrs""}",SYMBOLIC_TIME
"If customer asked what data was exposed, did agent answer that vs giving generic security tips?",SEMANTIC_COMPREHENSION,llm_generated,question,light,,SEMANTIC
"If tagged 'sensitive' and over 20 turns, was urgency maintained?",HYBRID,hybrid,question,light,,HYBRID
Assess whether agent began by acknowledging customer and clarifying they understood the delayed shipment issue.,SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
Check if the reply came within 16 sec.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 16, ""unit"": ""sec""}",SYMBOLIC_TIME
Did the conversation have more than 17 turns?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 17}",SYMBOLIC_COUNT
Determine whether this agent’s resolution rate for food-delivery complaints is higher than team average over the last quarter.,UNSUPPORTED,llm_generated,instruction,none,,UNSUPPORTED
Did the agent need more than 13 attempts to address this?,SYMBOLIC_COUNT,count_moderate,question,none,"{""threshold"": 13}",SYMBOLIC_COUNT
fetermine if this subscription intrracyion changes thr customer's loyalty piints.,UNSUPPORTED,unsupported,instruction,heavy,,UNSUPPORTED
Flag 'vip' tickets where urgency was not matched by quality...,HYBRID,hybrid,instruction,light,,HYBRID
Did more than 14 replies get sent by the agent?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 14}",SYMBOLIC_COUNT
Flag tickets marked 'complaint'.,SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""complaint""}",SYMBOLIC_METADATA
Check for slow turnaround times.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 26, ""unit"": ""hrs""}",SYMBOLIC_TIME
Verify this came via SMS.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
"Did agent’s first reply sound like they read the issue, or just jumped into steps?",SEMANTIC_GREETING,llm_generated,question,medium,,SEMANTIC
"Review the greeting stage: determine whether the agent explicitly recognized the customer is contacting about a delayed shipment, confirmed that interpretation with the customer, and avoided replying with a generic “How can I help” opener.",SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Confirm 'bug' is present.,SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""bug""}",SYMBOLIC_METADATA
Evaluate whether agent used active listening cues in their responses while giving breach resolution.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Confirm whether the passenger’s seat upgrade request was granted post-contact.,UNSUPPORTED,llm_generated,instruction,medium,,UNSUPPORTED
Did the agent quickly acknowledge the customer and apologize for the wrong bill amount?,SEMANTIC_GREETING,llm_generated,question,medium,,SEMANTIC
Confirm that the agent’s greeting included an apology and a correct summary of the billing mistake.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Detect if the agent mixed up shipping delay with a return request at the greeting stage.,SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"If the customer asks for a refund, did the agent reflect the customer’s situation before troubleshooting?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Flag tickets marked 'bug'.,SYMBOLIC_METADATA,meta_tag,instruction,none,"{""subtype"": ""tag"", ""value"": ""bug""}",SYMBOLIC_METADATA
Did the agent confirm the escalation request and then ask if anything else was needed?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
"Check that agent didn’t twist customer’s request: customer asked escalate now due to locked account, not “wait 24 hours” unless that’s the stated policy AND they explained it.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Did agent apologize and then request account details to check billing?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Identify bloated threads.,SYMBOLIC_COUNT,count_implicit,instruction,none,"{""threshold"": 16}",SYMBOLIC_COUNT
"Confirm the agent maintained patience and composed wording across the entire escalation request flow during the outage; if there was any point where the agent sounded irritated, dismissive, or made the customer feel like a burden, flag it as a failure (absolute).",SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Catalog instances of 11 minutes threshold violations.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 11, ""unit"": ""minutes""}",SYMBOLIC_TIME
Is this from SMS?,SYMBOLIC_METADATA,meta_channel,question,light,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
Did the agent kick off by confirming they can help and stating their identity?,SEMANTIC_GREETING,llm_generated,question,light,,SEMANTIC
Did the agent acknowledge the customer's frustration about the lost password,SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
were more than 7 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,question,medium,"{""threshold"": 7}",SYMBOLIC_COUNT
"If tagged 'escalated' and over 15 turns, was urgency maintained?",HYBRID,hybrid,question,none,,HYBRID
Validate that the conversation stayed under 15 turns.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 15}",SYMBOLIC_COUNT
What is the customer's credit score according to the app records?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Check if the customer’s payment method was previously declined on recent orders...,UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
Is this marked as 'legal'?,SYMBOLIC_METADATA,meta_tag,question,medium,"{""subtype"": ""tag"", ""value"": ""legal""}",SYMBOLIC_METADATA
"Did agent confirm they’re escalating and why, in plain language?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Detect whether agent acknowledged customer’s situation during resolution delivery.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
evaluate both response speed (15 minute threshold) and helpfulness.,HYBRID,hybrid,instruction,light,,HYBRID
"Determine whether the agent, at the greeting stage, correctly captured the customer’s request about a delayed delivery (including order context) and did not reinterpret it as a cancellation, address change, or damaged item report. Look for a clear confirmation step.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
"For conversations exceeding 45 turns, was quality maintained throughout?",HYBRID,hybrid,question,light,,HYBRID
Predict cancel likelihood based on this billing interaction.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Was the message count above 17?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 17}",SYMBOLIC_COUNT
Validate thqt yhe conversation stayrd undet 17 turns.,SYMBOLIC_COUNT,count_explicit,instruction,heavy,"{""threshold"": 17}",SYMBOLIC_COUNT
Did the customer wait too long?,SYMBOLIC_TIME,time_implicit,question,none,"{""threshold"": 4, ""unit"": ""seconds""}",SYMBOLIC_TIME
Validate that the agent responded inside 60 hours.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 60, ""unit"": ""hours""}",SYMBOLIC_TIME
Is this an 'follow-up' case?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""follow-up""}",SYMBOLIC_METADATA
Pull the customer's contact preferences from external database before evaluating.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Verify this came via chat...,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""chat""}",SYMBOLIC_METADATA
Did the agent both respond within 3 minutes and address the core issue?,HYBRID,hybrid,question,none,,HYBRID
"Check whether agent, in delivering the fix for lost password, acknowledges frustration and keeps tone professional even if customer is short/angry; note if empathy is missing or buried after the steps.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"Check if the agent’s initial response is a proper start: identifies the agent, acknowledges the outage impact, and calmly addresses the escalation request (no rushing or dismissive tone).",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Verify 'escalated' tickets received appropriate urgency.,HYBRID,hybrid,instruction,none,,HYBRID
Determine whether agent’s closing reinforced that the customer was heard and then offered options.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Did solving the issue take more than 2 replies?,SYMBOLIC_COUNT,count_moderate,question,medium,"{""threshold"": 2}",SYMBOLIC_COUNT
What does Stripe show for this customer's credit score?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
Did teh agent clearly signal the conversation was complete and invite more questions?,SEMANTIC_CLOSING,llm_generated,question,medium,,SEMANTIC
Evaluate whether agent identified shipping delay cause or timeline vs generic talk,SEMANTIC_SOLUTION,llm_generated,instruction,light,,SEMANTIC
Confirm agent recognized urgency when customer said they have a tight connection.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
"Check: during resolution delivery, agent should not sound dismissive about breach impact.",SEMANTIC_EMPATHY,llm_generated,instruction,light,,SEMANTIC
Did the total number of messages go above 25?,SYMBOLIC_COUNT,count_explicit,question,none,"{""threshold"": 25}",SYMBOLIC_COUNT
"Based on this conversation, will the customer's contact preferences change?",UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
os this imteraction like;y to lead to a refund withun 30 daya?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
Verify this came via phone.,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""phone""}",SYMBOLIC_METADATA
"Did the agent reflect back key impact (missed meeting, stranded, etc.) after the delay mention?",SEMANTIC_EMPATHY,llm_generated,question,none,,SEMANTIC
Verify message count is under 25.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 25}",SYMBOLIC_COUNT
"Detect whether the agent summarized the issue to show they heard it before escalating to next level, and maintained patience even after the customer repeated the same outage details multiple times.",SEMANTIC_EMPATHY,llm_generated,instruction,medium,,SEMANTIC
Did the agent only say sorry at start and leave billing issue untouched?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Was it tagged 'billing'?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""billing""}",SYMBOLIC_METADATA
assess whether the customer is likely to escalate after this exchange,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Report whether 17 exchanges were exceeded.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 17}",SYMBOLIC_COUNT
evaluate based on the customer's past support ticket interactions across 10 tickets.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Detect SMS conversations.,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
Is this a chat ticket?,SYMBOLIC_METADATA,meta_channel,question,light,"{""subtype"": ""channel"", ""value"": ""chat""}",SYMBOLIC_METADATA
Did agent keep mixing terms (breach vs phishing) and give wrong resolution?,SEMANTIC_COMPREHENSION,llm_generated,question,medium,,SEMANTIC
"In closing, did the agent give specific confirmation (date, email, billing end) for cancellation?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Did the customer rate this interaction positively after next billing cycle?,UNSUPPORTED,unsupported,question,light,,UNSUPPORTED
"If the customer asked for a temporary password, did the agent address that and provide the correct next step or alternative?",SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
Did agent acknowledge wrong charge and take direct ownership after greeting?,SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Detect quality degradation in conversations exceeding 45 turns.,HYBRID,hybrid,instruction,none,,HYBRID
identify poor response speed.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 300, ""unit"": ""minutes""}",SYMBOLIC_TIME
Review whether the agent’s follow-up kept a respectful style while clarifying next steps for the defect claim.,SEMANTIC_TONE,llm_generated,instruction,none,,SEMANTIC
Did the conversation have more than 6 turns?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 6}",SYMBOLIC_COUNT
Did the agent offer an alternative plan before finishing the cancellation convo?,SEMANTIC_CLOSING,llm_generated,question,light,,SEMANTIC
Note any slow agent replies.,SYMBOLIC_TIME,time_implicit,instruction,light,"{""threshold"": 4, ""unit"": ""hours""}",SYMBOLIC_TIME
Evaluate both response speed (10 minute threshold) and helpfulness.,HYBRID,hybrid,instruction,medium,,HYBRID
"When the agent’s first response contained an emoji and the tag is escalated, assess whether the greeting still felt professional for an upgrade request.",HYBRID,llm_generated,instruction,none,,HYBRID
"Did the agant follow through on escalation request end-to-end, not just say they would?",SEMANTIC_SOLUTION,llm_generated,question,light,,SEMANTIC
Did the customer have to wait more than 9 seconds for a reply?,SYMBOLIC_TIME,time_moderate,question,none,"{""threshold"": 9, ""unit"": ""seconds""}",SYMBOLIC_TIME
Assess whether the customer is likely to cancel after this exchange.,UNSUPPORTED,unsupported,instruction,light,,UNSUPPORTED
Evaluate if resolved within 7 turns.,SYMBOLIC_COUNT,count_moderate,instruction,heavy,"{""threshold"": 7}",SYMBOLIC_COUNT
"Did the agent validate the frustration during the final password reset guidance, and not come across harsh?",SEMANTIC_TONE,llm_generated,question,none,,SEMANTIC
Is the 'refund' tag present on this ticket?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""refund""}",SYMBOLIC_METADATA
Filter for SMS tickets.,SYMBOLIC_METADATA,meta_channel,instruction,light,"{""subtype"": ""channel"", ""value"": ""SMS""}",SYMBOLIC_METADATA
Verify this came via twitter.,SYMBOLIC_METADATA,meta_channel,instruction,none,"{""subtype"": ""channel"", ""value"": ""twitter""}",SYMBOLIC_METADATA
"Detect whether the agent’s opening message includes both a brief self-identification and a sincere apology for the billing error, and whether it acknowledges the customer’s reason for contacting support without shifting blame to the customer or another department.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
Ascertain whether 1 hrs was exceeded.,SYMBOLIC_TIME,time_explicit,instruction,light,"{""threshold"": 1, ""unit"": ""hrs""}",SYMBOLIC_TIME
Is this an 'sensitive' case?,SYMBOLIC_METADATA,meta_tag,question,light,"{""subtype"": ""tag"", ""value"": ""sensitive""}",SYMBOLIC_METADATA
"Determine whether, during resolution delivery for a lost password, the agent first acknowledged the customer’s frustration before giving steps.",SEMANTIC_GREETING,llm_generated,instruction,none,,SEMANTIC
"Check if the agent stayed attentive and validated concerns throughout escalation request, no gaps",SEMANTIC_TONE,llm_generated,instruction,light,,SEMANTIC
Did the agent immediately address the shipping delay concern without going off-topic?,SEMANTIC_COMPREHENSION,llm_generated,question,none,,SEMANTIC
"Detect whether the agent acknowledged the outage and moved toward escalation steps, not repetitive scripts.",SEMANTIC_COMPREHENSION,llm_generated,instruction,none,,SEMANTIC
Record cases where more than 25 replies were needed.,SYMBOLIC_COUNT,count_moderate,instruction,none,"{""threshold"": 25}",SYMBOLIC_COUNT
"Detect whether, during the final stage when the agent provides the password reset method, the agent first acknowledges the customer’s frustration about being locked out, and only after that proceeds with the concrete recovery steps and any required verification.",SEMANTIC_GREETING,llm_generated,instruction,light,,SEMANTIC
"When the ticket tag is escalated, did the agent avoid q casual grweting that could feel dusmissive?",HYBRID,llm_generated,question,light,,HYBRID
Verify the customer's subscription tier in the app.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
Check that the agent didn’t ignore the billing error in greeting; apology must be present.,SEMANTIC_EMPATHY,llm_generated,instruction,none,,SEMANTIC
Were more than 19 back-and-forth exchanges needed?,SYMBOLIC_COUNT,count_explicit,question,light,"{""threshold"": 19}",SYMBOLIC_COUNT
Check if the customer’s card was replaced and activated after this dispute.,UNSUPPORTED,llm_generated,instruction,light,,UNSUPPORTED
Was the 19 seconds response window honored?,SYMBOLIC_TIME,time_explicit,question,light,"{""threshold"": 19, ""unit"": ""seconds""}",SYMBOLIC_TIME
"In the final wrap-up after offering alternatives, did the agent’s wording stay measured and considerate, or did it become clipped, cold, or overly salesy as the chat ended?",SEMANTIC_TONE,llm_generated,question,light,,SEMANTIC
Did the agent reassure the customer and end the interaction without unnecessary extra steps?,SEMANTIC_CLOSING,llm_generated,question,none,,SEMANTIC
Confirm 'refund' is present...,SYMBOLIC_METADATA,meta_tag,instruction,medium,"{""subtype"": ""tag"", ""value"": ""refund""}",SYMBOLIC_METADATA
Is this marked as 'spam'?,SYMBOLIC_METADATA,meta_tag,question,none,"{""subtype"": ""tag"", ""value"": ""spam""}",SYMBOLIC_METADATA
Test whether fewer than 10 turns were used.,SYMBOLIC_COUNT,count_explicit,instruction,light,"{""threshold"": 10}",SYMBOLIC_COUNT
Assess chat-appropriatw conmunicatipn dtyle.,HYBRID,hybrid,instruction,heavy,,HYBRID
Was the customer left hanging for more than 30 minutes?,SYMBOLIC_TIME,time_moderate,question,medium,"{""threshold"": 30, ""unit"": ""minutes""}",SYMBOLIC_TIME
"Did agent give steps that match the customer’s device/app context, or generic copy-paste text?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
Record whether the customer waited beyond 8 hours.,SYMBOLIC_TIME,time_moderate,instruction,none,"{""threshold"": 8, ""unit"": ""hours""}",SYMBOLIC_TIME
Test whether the reply met the 29 hours requirement.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 29, ""unit"": ""hours""}",SYMBOLIC_TIME
Inspect the thread for more than 9 exchanges.,SYMBOLIC_COUNT,count_explicit,instruction,none,"{""threshold"": 9}",SYMBOLIC_COUNT
Estimate the probability that this customer will churn within month.,UNSUPPORTED,unsupported,instruction,none,,UNSUPPORTED
What is the customer's account balance according to CRM records?,UNSUPPORTED,unsupported,question,none,,UNSUPPORTED
"For phone calls where the customer expressed frustration (e.g., raised voice or repeated complaints) within the first 2 minutes, assess whether the agent de-escalated effectively while progressing the return.",HYBRID,llm_generated,instruction,none,,HYBRID
Did the claimant’s preferred communication method in their profile match the channel used?,UNSUPPORTED,llm_generated,question,light,,UNSUPPORTED
"Check whether the agent appropriately finalized the exchange once troubleshooting was complete, including confirmation of what the customer should do next and a final offer of help, while maintaining empathy about the delay and any missed-connection concerns.",SEMANTIC_CLOSING,llm_generated,instruction,light,,SEMANTIC
"For tickets where the customer repeated the security concern at least twice, did the agent remain polite and professional?",HYBRID,llm_generated,question,none,,HYBRID
"Did the agent in follow-up actually arrange return/exchange steps, not just point to FAQ?",SEMANTIC_SOLUTION,llm_generated,question,none,,SEMANTIC
"If the customer’s return was denied on phone, judge whether the agent delivered the decision with empathy and provided a reasonable escalation path.",HYBRID,llm_generated,instruction,none,,HYBRID
Examine if the response was sent before the 120 min limit.,SYMBOLIC_TIME,time_explicit,instruction,none,"{""threshold"": 120, ""unit"": ""min""}",SYMBOLIC_TIME
Check if the agent apologized when response exceeded 15 minutes.,HYBRID,hybrid,instruction,none,,HYBRID
