idx,prompt,category,ground_truth,ground_truth_source,scenario,system_a_binary_answer,system_a_binary_tokens,system_a_binary_latency_ms,system_a_binary_correct,system_a_reject_answer,system_a_reject_tokens,system_a_reject_latency_ms,system_a_reject_correct,gt_tokens,conversation_json,params
78,Any private comments added?,SYMBOLIC_METADATA,no,deterministic,notes_absent,no,191,0.0,1,no,329,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Urgent: data export is causing problems for our team."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on data export."", ""timestamp"": ""2025-01-15 10:18:01.521279"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:21:08.210219"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-15 10:24:57.718901"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""urgent"", ""feature_request""], ""channel"": ""email"", ""resolution_time_minutes"": 25.0}","{""subtype"": ""notes"", ""value"": null}"
79,Filter for SMS tickets.,SYMBOLIC_METADATA,yes,deterministic,channel_match,yes,358,0.0,1,yes,496,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to data export but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""agent"", ""text"": ""I understand, let me look into data export for you."", ""timestamp"": ""2025-01-15 10:14:31.863379"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:17:03.504618"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the data export settings."", ""timestamp"": ""2025-01-15 10:21:36.268863"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:26:31.512970"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the data export issue."", ""timestamp"": ""2025-01-15 10:29:17.741200"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:29:58.309574"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""agent"", ""text"": ""I've escalated the data export matter to our specialist team."", ""timestamp"": ""2025-01-15 10:32:26.504308"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:35:18.002817"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the data export settings."", ""timestamp"": ""2025-01-15 10:36:30.864293"", ""is_public"": true, ""channel"": ""SMS""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:41:08.707226"", ""is_public"": true, ""channel"": ""SMS""}], ""tags"": [""technical""], ""channel"": ""SMS"", ""resolution_time_minutes"": 41.1}","{""subtype"": ""channel"", ""value"": ""SMS""}"
80,Is this marked as 'spam'?,SYMBOLIC_METADATA,no,deterministic,tag_absent,no,337,0.0,1,no,475,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Quick question about API access."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into API access for you."", ""timestamp"": ""2025-01-15 10:18:08.257976"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:20:07.274480"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the API access settings."", ""timestamp"": ""2025-01-15 10:23:40.436903"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:25:18.475765"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""The API access issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:28:45.748068"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:33:11.533577"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the API access issue."", ""timestamp"": ""2025-01-15 10:34:03.539114"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:38:41.060657"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Glad I could help. Have a great day!"", ""timestamp"": ""2025-01-15 10:43:32.338714"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [""general"", ""other""], ""channel"": ""email"", ""resolution_time_minutes"": 43.5}","{""subtype"": ""tag"", ""value"": ""spam""}"
81,Did this come through twitter?,SYMBOLIC_METADATA,yes,deterministic,channel_match,yes,234,0.0,1,yes,372,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Quick question about password reset."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""twitter""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on password reset right away."", ""timestamp"": ""2025-01-15 10:16:59.292064"", ""is_public"": true, ""channel"": ""twitter""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:20:30.223492"", ""is_public"": true, ""channel"": ""twitter""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:25:15.942821"", ""is_public"": true, ""channel"": ""twitter""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:26:11.175122"", ""is_public"": true, ""channel"": ""twitter""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:28:35.494841"", ""is_public"": true, ""channel"": ""twitter""}], ""tags"": [], ""channel"": ""twitter"", ""resolution_time_minutes"": 28.6}","{""subtype"": ""channel"", ""value"": ""twitter""}"
82,Identify if source was email.,SYMBOLIC_METADATA,no,deterministic,channel_mismatch,no,190,0.0,1,no,328,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""We've noticed an issue with the subscription renewal recently."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on the subscription renewal right away."", ""timestamp"": ""2025-01-15 10:10:34.866251"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:12:06.032874"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I'll close this ticket. Feel free to reopen if needed."", ""timestamp"": ""2025-01-15 10:13:17.868071"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""escalated"", ""vip""], ""channel"": ""phone"", ""resolution_time_minutes"": 13.3}","{""subtype"": ""channel"", ""value"": ""email""}"
83,Is 'complaint' applied to this ticket?,SYMBOLIC_METADATA,yes,deterministic,tag_present,no,212,0.0,0,yes,350,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with the integration setup."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your the integration setup situation."", ""timestamp"": ""2025-01-15 10:25:08.162093"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:27:09.088473"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The the integration setup issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:30:25.956969"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:32:37.671334"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""complaint"", ""general""], ""channel"": ""phone"", ""resolution_time_minutes"": 32.6}","{""subtype"": ""tag"", ""value"": ""complaint""}"
84,Verify ticket has 'resolved' status.,SYMBOLIC_METADATA,no,deterministic,tag_absent,yes,231,0.0,0,reject,369,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to data export but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your data export situation."", ""timestamp"": ""2025-01-15 10:24:22.007384"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:26:50.179203"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the data export issue."", ""timestamp"": ""2025-01-15 10:28:58.540045"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:33:50.328968"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Glad I could help. Have a great day!"", ""timestamp"": ""2025-01-15 10:35:37.259510"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""general"", ""other""], ""channel"": ""phone"", ""resolution_time_minutes"": 35.6}","{""subtype"": ""tag"", ""value"": ""resolved""}"
85,Flag tickets marked 'refund'.,SYMBOLIC_METADATA,yes,deterministic,tag_present,no,266,0.0,0,yes,404,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""We've noticed an issue with the subscription renewal recently."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Thank you for reaching out. I'll check on the subscription renewal right away."", ""timestamp"": ""2025-01-15 10:09:37.758177"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:11:47.075236"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've escalated the the subscription renewal matter to our specialist team."", ""timestamp"": ""2025-01-15 10:16:42.873980"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:20:40.622389"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The the subscription renewal issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:22:53.727946"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:25:16.766369"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""refund"", ""general""], ""channel"": ""phone"", ""resolution_time_minutes"": 25.3}","{""subtype"": ""tag"", ""value"": ""refund""}"
86,Was it tagged 'duplicate'?,SYMBOLIC_METADATA,no,deterministic,tag_absent,no,259,0.0,1,reject,397,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hi, I need help with a shipping delay."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Let me review your a shipping delay situation."", ""timestamp"": ""2025-01-15 10:26:15.213399"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:28:54.972876"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding a shipping delay."", ""timestamp"": ""2025-01-15 10:31:54.698877"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:35:36.777141"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the a shipping delay settings."", ""timestamp"": ""2025-01-15 10:39:56.591974"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:40:49.238258"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""general"", ""other""], ""channel"": ""phone"", ""resolution_time_minutes"": 40.8}","{""subtype"": ""tag"", ""value"": ""duplicate""}"
87,Are there internal notes in this convesation?,SYMBOLIC_METADATA,yes,deterministic,notes_present,yes,349,0.0,1,yes,487,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Can someone help me with the billing charge?"", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on the billing charge."", ""timestamp"": ""2025-01-15 10:28:25.151476"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Customer seems frustrated. Priority handling."", ""timestamp"": ""2025-01-15 10:28:57.151476"", ""is_public"": false, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:30:47.173641"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the the billing charge issue."", ""timestamp"": ""2025-01-15 10:33:32.715562"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:34:24.749030"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the billing charge."", ""timestamp"": ""2025-01-15 10:35:02.359667"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:38:27.849052"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-15 10:39:37.282365"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Checked logs \u2014 issue is on our backend."", ""timestamp"": ""2025-01-15 10:39:57.282365"", ""is_public"": false, ""channel"": ""email""}], ""tags"": [""refund""], ""channel"": ""email"", ""resolution_time_minutes"": 39.6}","{""subtype"": ""notes"", ""value"": null}"
88,Filter for whatsapp tickets.,SYMBOLIC_METADATA,no,deterministic,channel_mismatch,no,372,0.0,1,reject,510,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I've been trying to my account login but it's not working."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I see the issue with my account login. Here's what I can do."", ""timestamp"": ""2025-01-15 10:08:02.985353"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:12:46.846359"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding my account login."", ""timestamp"": ""2025-01-15 10:15:39.344666"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:19:38.911277"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding my account login."", ""timestamp"": ""2025-01-15 10:21:30.222100"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:23:04.600766"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've escalated the my account login matter to our specialist team."", ""timestamp"": ""2025-01-15 10:27:08.953525"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:27:55.911456"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The my account login issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:32:30.301115"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:35:25.035637"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""feature_request"", ""billing"", ""urgent""], ""channel"": ""phone"", ""resolution_time_minutes"": 35.4}","{""subtype"": ""channel"", ""value"": ""whatsapp""}"
89,Detect if 'refund' label exists.,SYMBOLIC_METADATA,yes,deterministic,tag_present,no,398,0.0,0,yes,536,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""I'm frustrated \u2014 the subscription renewal hasn't been resolved."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I can help with that. Let me pull up the details on the subscription renewal."", ""timestamp"": ""2025-01-15 10:21:41.823460"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:22:12.245831"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've escalated the the subscription renewal matter to our specialist team."", ""timestamp"": ""2025-01-15 10:23:47.198175"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""I appreciate the quick response."", ""timestamp"": ""2025-01-15 10:25:07.772931"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the the subscription renewal settings."", ""timestamp"": ""2025-01-15 10:26:00.888699"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:26:49.162116"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""The the subscription renewal issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:29:46.064245"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:32:45.685272"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the subscription renewal."", ""timestamp"": ""2025-01-15 10:37:11.484760"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:40:33.115874"", ""is_public"": true, ""channel"": ""phone""}, {""role"": ""agent"", ""text"": ""Is there anything else I can help with?"", ""timestamp"": ""2025-01-15 10:42:11.601444"", ""is_public"": true, ""channel"": ""phone""}], ""tags"": [""refund"", ""general""], ""channel"": ""phone"", ""resolution_time_minutes"": 42.2}","{""subtype"": ""tag"", ""value"": ""refund""}"
90,Confirm 'spam' is present.,SYMBOLIC_METADATA,no,deterministic,tag_absent,no,315,0.0,1,reject,453,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Hello, I'm having an issue with order cancellation."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I see the issue with order cancellation. Here's what I can do."", ""timestamp"": ""2025-01-15 10:07:36.792886"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:11:25.293372"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the order cancellation settings."", ""timestamp"": ""2025-01-15 10:12:31.313961"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:15:28.737672"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've escalated the order cancellation matter to our specialist team."", ""timestamp"": ""2025-01-15 10:18:52.292488"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:23:47.113668"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the order cancellation issue."", ""timestamp"": ""2025-01-15 10:27:07.682347"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:27:54.719492"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""general"", ""other""], ""channel"": ""chat"", ""resolution_time_minutes"": 27.9}","{""subtype"": ""tag"", ""value"": ""spam""}"
91,Detect email conversations,SYMBOLIC_METADATA,yes,deterministic,channel_match,yes,356,0.0,1,yes,494,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Can someone help me with password reset?"", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I understand, let me look into password reset for you."", ""timestamp"": ""2025-01-15 10:06:26.816057"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:08:22.026928"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""The password reset issue should now be resolved. Please verify."", ""timestamp"": ""2025-01-15 10:11:11.180497"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:13:48.998434"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the password reset issue."", ""timestamp"": ""2025-01-15 10:17:42.386982"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:19:29.636924"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the password reset settings."", ""timestamp"": ""2025-01-15 10:23:30.464147"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:25:14.232631"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""agent"", ""text"": ""I've escalated the password reset matter to our specialist team."", ""timestamp"": ""2025-01-15 10:27:23.597808"", ""is_public"": true, ""channel"": ""email""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:31:14.290888"", ""is_public"": true, ""channel"": ""email""}], ""tags"": [], ""channel"": ""email"", ""resolution_time_minutes"": 31.2}","{""subtype"": ""channel"", ""value"": ""email""}"
92,Is 'pending' applied to this ticket?,SYMBOLIC_METADATA,no,deterministic,tag_absent,no,312,0.0,1,reject,450,0.0,0,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Quick question about service outage."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I see the issue with service outage. Here's what I can do."", ""timestamp"": ""2025-01-15 10:20:54.961229"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:22:36.975817"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding service outage."", ""timestamp"": ""2025-01-15 10:26:23.287775"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:28:49.551706"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the service outage settings."", ""timestamp"": ""2025-01-15 10:30:08.274957"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Thank you, that helps."", ""timestamp"": ""2025-01-15 10:32:05.002043"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Could you try again? I've updated the service outage settings."", ""timestamp"": ""2025-01-15 10:34:03.540417"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:35:56.294298"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""general"", ""other""], ""channel"": ""chat"", ""resolution_time_minutes"": 35.9}","{""subtype"": ""tag"", ""value"": ""pending""}"
93,Verify ticket has 'urgent' status.,SYMBOLIC_METADATA,yes,deterministic,tag_present,yes,347,0.0,1,yes,485,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""We've noticed an issue with the mobile app crash recently."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I understand, let me look into the mobile app crash for you."", ""timestamp"": ""2025-01-15 10:13:35.717835"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""That's still not working for me."", ""timestamp"": ""2025-01-15 10:17:21.957722"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've escalated the the mobile app crash matter to our specialist team."", ""timestamp"": ""2025-01-15 10:20:37.967622"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Is there anything else I should know?"", ""timestamp"": ""2025-01-15 10:22:22.097569"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've checked and here's what I found regarding the mobile app crash."", ""timestamp"": ""2025-01-15 10:27:08.031751"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Could you explain further?"", ""timestamp"": ""2025-01-15 10:30:39.251401"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I've applied a fix for the the mobile app crash issue."", ""timestamp"": ""2025-01-15 10:32:47.345406"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""OK, I'll try that."", ""timestamp"": ""2025-01-15 10:37:34.598543"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Glad I could help. Have a great day!"", ""timestamp"": ""2025-01-15 10:41:53.739257"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""urgent"", ""general""], ""channel"": ""chat"", ""resolution_time_minutes"": 41.9}","{""subtype"": ""tag"", ""value"": ""urgent""}"
94,Was it tagged 'refund'?,SYMBOLIC_METADATA,no,deterministic,tag_absent,no,186,0.0,1,no,324,0.0,1,0,"{""messages"": [{""role"": ""customer"", ""text"": ""Quick question about the billing charge."", ""timestamp"": ""2025-01-15 10:00:00"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""I apologize for the inconvenience with the billing charge. Let me investigate."", ""timestamp"": ""2025-01-15 10:07:27.711823"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""customer"", ""text"": ""Great, that fixed it!"", ""timestamp"": ""2025-01-15 10:09:41.082511"", ""is_public"": true, ""channel"": ""chat""}, {""role"": ""agent"", ""text"": ""Please don't hesitate to reach out if you need more help."", ""timestamp"": ""2025-01-15 10:10:19.826548"", ""is_public"": true, ""channel"": ""chat""}], ""tags"": [""general"", ""other""], ""channel"": ""chat"", ""resolution_time_minutes"": 10.3}","{""subtype"": ""tag"", ""value"": ""refund""}"
