prompt,category,ground_truth,svm_correct,tfidf_lr_correct,emb_lr_correct,ensemble_correct,keyword_correct
Confirm whether the guest’s next booking was completed successfully without support.,UNSUPPORTED,reject,1,1,0,1,0
Predict cancel likelihood based on this complaint interaction.,UNSUPPORTED,reject,1,1,1,1,1
What is the customer's subscription pattern in ERP?,UNSUPPORTED,reject,1,1,1,1,1
Predict request a callback likelihood based on this subscription interaction.,UNSUPPORTED,reject,1,1,1,1,1
Estimate the probability that this customer will escalate within month.,UNSUPPORTED,reject,1,1,1,1,0
Cross-reference this return issue with Shopify data.,UNSUPPORTED,reject,1,1,1,1,1
Verify whether the restaurant issued a remake or replacement after the conversation.,UNSUPPORTED,reject,1,1,0,0,0
Is this a repeat support ticket complaint from the same customer?,UNSUPPORTED,reject,1,0,0,0,0
Compare this agent's handling against  custoemr's pattern in the app.,UNSUPPORTED,reject,1,1,0,1,0
Did the customer come back with the same complaint issue within week?,UNSUPPORTED,reject,1,1,1,1,1
Calculate the impact of this conversation on escalation over quarter.,UNSUPPORTED,reject,1,1,0,1,0
Forecast the customer's support ticket trend over the next week.,UNSUPPORTED,reject,1,1,1,1,1
Assess based on the customer's return records in third-party system.,UNSUPPORTED,reject,1,1,1,1,0
Verify the customer's payment method in Salesforce.,UNSUPPORTED,reject,1,1,1,1,1
